Community,"Heat-Related Deaths per 100,000 Population (1995)"
ALBANY PARK,0
ARCHER HEIGHTS,54
ARMOUR SQUARE,0
ASHBURN,0
AUBURN GRESHAM,0
AUSTIN,0
AVALON PARK,0
AVONDALE,0
BELMONT CRAGIN,0
BEVERLY,0
BRIDGEPORT,0
BRIGHTON PARK,31
BURNSIDE,30
CALUMET HEIGHTS,0
Chatham ,35
Chicago,7
CHICAGO LAWN,0
CLEARING,0
DOUGLAS,0
DUNNING,0
EAST GARFIELD PARK,0
EAST SIDE,0
EDGEWATER,0
EDISON PARK,0
ENGLEWOOD,33
FOREST GLEN,0
FULLER PARK,92
GAGE PARK,0
GARFIELD RIDGE,0
GRAND BOULEVARD,47
GREATER GRAND CROSSING,52
HEGEWISCH,0
HERMOSA,0
HUMBOLDT PARK,0
HYDE PARK,0
IRVING PARK,0
JEFFERSON PARK,0
KENWOOD,33
LAKE VIEW,0
LINCOLN PARK,0
LINCOLN SQUARE,0
LOGAN SQUARE,0
LOOP,0
LOWER WEST SIDE,0
MCKINLEY PARK,45
MONTCLARE,0
MORGAN PARK,0
MOUNT GREENWOOD,0
NEAR NORTH SIDE,0
NEAR SOUTH SIDE,29
NEAR WEST SIDE,0
NEW CITY,0
NORTH CENTER,0
NORTH LAWNDALE,40
NORTH PARK,0
NORWOOD PARK,0
OAKLAND,0
OHARE,0
PORTAGE PARK,0
PULLMAN,0
RIVERDALE,0
ROGERS PARK,0
ROSELAND,0
SOUTH CHICAGO,0
SOUTH DEERING,0
SOUTH LAWNDALE,0
SOUTH SHORE,0
UPTOWN,0
WASHINGTON HEIGHTS,0
WASHINGTON PARK,51
WEST ELSDON,0
WEST ENGLEWOOD,0
WEST GARFIELD PARK,0
WEST LAWN,0
WEST PULLMAN,0
WEST RIDGE,0
West Town ,32
WOODLAWN,73
